Timestamp,Action,Target,Status,Details,Version_From,Version_To
2026-02-13T15:09:42.341749,VALIDATION,test_valid_scheme,BROKEN,URL Unreachable: https://pmjdy.gov.in,,
2026-02-13T15:09:42.409325,VALIDATION,test_broken_scheme,BROKEN,URL Unreachable: https://www.broken-mudra-link.gov.in,,
2026-02-13T15:10:34.343723,VALIDATION,test_valid_scheme,BROKEN,URL Unreachable: https://pmjdy.gov.in,,
2026-02-13T15:10:34.696367,VALIDATION,test_broken_scheme,BROKEN,URL Unreachable: https://www.broken-mudra-link.gov.in,,
2026-02-13T15:10:49.783203,VALIDATION,test_valid_scheme,BROKEN,URL Unreachable: https://pmjdy.gov.in,,
2026-02-13T15:10:50.176272,VALIDATION,test_broken_scheme,BROKEN,URL Unreachable: https://www.broken-mudra-link.gov.in,,
2026-02-13T15:11:13.853581,VALIDATION,test_valid_scheme,BROKEN,URL Unreachable: https://pmjdy.gov.in,,
2026-02-13T15:11:14.247917,VALIDATION,test_broken_scheme,BROKEN,URL Unreachable: https://www.broken-mudra-link.gov.in,,
2026-02-13T15:11:53.783020,VALIDATION,test_valid_scheme,BROKEN,URL Unreachable: https://pmjdy.gov.in,,
2026-02-13T15:11:54.141489,VALIDATION,test_broken_scheme,BROKEN,URL Unreachable: https://www.broken-mudra-link.gov.in,,
2026-02-13T15:12:52.456757,CONTENT,stand_up_india,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': True, 'interest_rate_mentioned': True}",,
2026-02-13T15:12:57.684969,CONTENT,day_nulm,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': True, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:04.555265,CONTENT,pmay_urban,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': True, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:05.375006,CONTENT,clss,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': False, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:05.913133,CONTENT,pm_vidyalaxmi,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': False, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:06.636887,CONTENT,kisan_credit_card,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': False, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:09.516693,CONTENT,pm_fasal_bima,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': False, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:09.639714,VALIDATION,pmmy,BROKEN,URL Unreachable: https://www.mudra.org.in,,
2026-02-13T15:13:12.036177,CONTENT,cgtmse,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': False, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:22.135062,VALIDATION,day_nrlm,BROKEN,URL Unreachable: https://aajeevika.gov.in/sites/default/files/nrlm-guidelines.pdf,,
2026-02-13T15:13:32.961763,VALIDATION,interest_subvention_shg,BROKEN,URL Unreachable: https://canarabank.com/pages/Interest-Subvention-Scheme-for-Women-SHGs,,
2026-02-13T15:13:33.986723,CONTENT,pmegp,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': False, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:34.115622,VALIDATION,pmjdy_rupay_credit,BROKEN,URL Unreachable: https://pmjdy.gov.in,,
2026-02-13T15:13:34.578823,VALIDATION,mudra_card,BROKEN,URL Unreachable: https://www.mudra.org.in,,
2026-02-13T15:13:36.069626,CONTENT,eclgs,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': True, 'interest_rate_mentioned': False}",,
2026-02-13T15:13:37.396549,CONTENT,rbi_resolution_framework,CHANGED,"Hash change detected. Keywords: {'eligibility_mentioned': False, 'documents_mentioned': True, 'interest_rate_mentioned': True}",,
2026-02-13T15:13:37.398780,SAVE,schemes.json,SUCCESS,File updated successfully,0.0.0,0.0.1
2026-02-13T15:13:38.008412,VALIDATION,rules.json,VERIFIED,Source Accessible: https://www.fidcindia.org.in/wp-content/uploads/2025/03/RBI-PSL-MASTER-DIRECTIONS-24-03-25.pdf,,
2026-02-13T15:13:38.099336,VALIDATION,rules.json,VERIFIED,Source Accessible: https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2024/07/20240716890312078.pdf,,
2026-02-13T15:13:38.690527,VALIDATION,rules.json,VERIFIED,Source Accessible: https://fidcindia.org.in/wp-content/uploads/2022/09/RBI-GUIDELINES-ON-DIGITAL-LENDING-02-09-22.pdf,,
